x y
-1.002 -2.348
-0.104 -1.071
-1.823 -1.867
1.487 -0.628
1.893 0.347
-1.188 -2.871
1.151 -1.949
1.078 0.059
-1.002 -1.942
1.914 -0.323
-1.574 -3.905
0.65 -1.961
-1.255 -1.719
1.404 -0.635
0.017 0.679
-1.75 -1.421
-0.595 -0.81
-1.973 -1.116
0.17 -0.559
0.586 1.236
0.128 -2.481
0.434 -0.405
-0.064 -1.069
1.59 0.177
-1.837 -1.665
1.828 -0.067
0.831 0.032
-0.636 0.999
-1.668 -1.067
-0.538 -2.057
-1.711 -2.425
-1.513 -1.565
-0.658 -2.1
1.485 0.219
1.429 -0.568
0.711 -0.481
1.612 0.536
-0.725 -1.82
-0.948 -2.614
-0.455 -1.395
-0.895 -2.571
-0.159 -1.311
0.095 -2.389
0.87 0.754
-1.08 -2.864
-1.88 -3.163
-0.156 -1.238
0.701 -0.983
-1.177 -4.411
-1.3 -1.036
1.857 -0.932
1.836 -0.585
1.284 0.877
0.171 -2.038
0.525 -0.798
-1.051 -3.937
-0.811 -1.752
1.385 -0.882
1.384 -0.615
1.36 -1.156
-0.462 -1.439
-1.383 -1.524
1.905 -0.256
0.036 -1.787
0.41 -0.136
1.553 0.067
1.372 -2.141
0.222 -0.218
-0.633 -2.638
-1.803 -1.797
0.329 -0.505
1.08 0.573
0.015 -1.007
-0.95 -2.306
-1.77 -4.725
0.618 1.237
-0.901 -1.558
-1.376 -2.228
-1.132 -0.103
-1.466 -2.533
0.134 -2.156
0.627 -1.348
1.528 -0.413
1.528 -0.889
-0.657 -2.884
-1.787 -2.117
1.557 -0.103
1.504 -0.765
-0.352 -1.629
-0.939 -1.908
-1.081 -1.223
1.678 -0.121
1.282 -1.017
-1.622 -2.058
-1.534 -0.845
-0.33 0.09
-0.978 -0.989
1.338 -0.001
-1.263 -1.624
1.747 -0.304
-0.31 -0.604
0.837 -0.254
-0.663 0.903
1.837 2.603
-1.845 -3.199
-1.657 -5.492
-0.675 -1.144
0.658 0.62
-0.336 -1.855
1.149 -0.72
0.811 -0.71
-1.214 -0.512
1.743 0.311
1.251 -0.211
0.085 0.111
-0.546 -0.442
-1.011 -2.244
1.457 0.028
1.15 0.503
-0.054 0.567
-0.28 -1.02
-1.998 -2.096
-0.139 -1.541
0.154 0.743
-1.69 -2.367
-0.266 -1.273
-1.025 -1.791
-1.953 -4.609
0.834 -0.27
0.466 -2.205
-0.604 -1.047
1.233 -0.038
-1.029 0.218
-1.374 -1.414
-0.256 -2.825
0.782 -0.35
1.575 0.433
1.964 0.07
0.413 -2.787
-1.129 -1.094
0.066 -0.122
1.335 -1.226
-1.239 0.017
1.503 1.122
-1.756 -1.663
1.155 -0.916
0.885 -1.18
0.714 -1.427
0.435 -1.461
0.312 -0.763
1.51 -1.409
-0.346 0.073
0.324 0.144
-0.117 -1.374
-0.267 -1.779
-1.349 -1.173
-0.611 -2.546
1.058 -1.342
1.257 -0.545
1.519 -1.214
0.342 -2.001
0.303 0.199
-0.438 -0.517
-1.18 -3.056
1.12 0.548
-1.443 -1.187
1.037 -0.64
1.241 -0.268
1.668 0.057
-1.086 -2.583
-0.382 -1.275
0.326 -0.898
-1.763 -2.067
1.217 0.625
1.262 -0.649
1.1 0.447
-1.621 -1.671
1.416 1.231
0.406 -1.626
1.95 -0.943
-0.748 -1.915
1.531 1.499
1.389 0.597
-0.158 -0.357
1.59 1.224
0.297 -2.032
-1.706 -2.316
-0.309 -1.819
1.163 -0.53
0.091 0.347
-0.753 -1.66
1.251 1.842
1.466 -0.766
0.344 1.89
-1.962 -1.667
-1.774 -3.084
1.636 -1.069
0.963 -0.443
1.148 1.055
-0.548 -1.514
