rent rentsqm area yearc location district
120.974 3.456 35 1939 1 1112
436.974 4.202 104 1939 1 1112
355.744 12.267 29 1971 2 2114
807.231 8.322 97 1985 1 2222
482.821 7.787 62 1962 1 2222
323.692 10.442 31 1965 1 2211
370.974 6.082 61 1957.5 2 2142
373.692 5.19 72 1978 1 2143
521.692 6.956 75 1968 1 2142
644.205 9.911 65 1956 2 2113
700.462 7.697 91 1984 1 1402
781.128 7.811 100 1959 1 1516
330.308 5.161 64 1962 1 1123
245.897 3.903 63 1929 1 1132
424.974 5.822 73 1980 1 1133
292.308 5.04 58 1934 1 1133
322.256 3.978 81 1996 1 1212
472.051 4.371 108 1955 1 1111
685.539 7.88 87 1979 2 2145
509.128 8.485 60 1939 2 2145
688.974 5.512 125 1979 1 2412
205.333 3.065 67 1964 1 2314
368.769 4.61 80 1972 1 2314
636.41 8.6 74 1957 1 2414
413.231 10.596 39 1996 1 2314
846.103 9.401 90 1983 2 2144
329.897 8.046 41 1960 1 2421
303.795 5.149 59 1960 1 2421
483.026 7.667 63 1929 1 210
1150.154 7.373 156 1918 2 210
531.385 4.831 110 1918 2 232
312.615 4.168 75 1960 3 924
471.846 6.646 71 1970 1 2314
345.897 10.482 33 1967 3 964
114.462 3.27 35 1939 1 2314
326.359 12.087 27 1972 2 922
542.718 10.05 54 1986 2 964
336.974 11.232 30 1972 1 2121
486.051 5.652 86 1965 1 963
433.282 7.221 60 1957.5 2 961
713.538 8.202 87 1981 1 1361
537.333 6.889 78 1991 1 1346
528.769 5.508 96 1967 1 1341
478.821 6.744 71 1965 2 1544
471.795 7.997 59 1986 1 1322
373.026 4.288 87 1972 1 1345
404.718 5.189 78 1929 1 1011
333.795 4.768 70 1965 1 2441
369.333 6.48 57 1972 1 2421
704.103 9.388 75 1984 1 2425
705.385 12.162 58 1994.5 2 2146
899.692 9.887 91 1958 1 563
462.256 8.722 53 1956 1 1711
239.282 4.273 56 1929 1 1713
410.103 4.882 84 1956 2 1373
601.538 8.021 75 1994.5 1 1402
473.18 8.763 54 1990 1 1014
606.103 10.45 58 1994 2 1532
565.026 6.726 84 1973 1 1642
575.949 5.999 96 1924 1 1013
363.846 6.738 54 1979 1 1015
302.923 7.212 42 1971 1 1012
466.154 6.474 72 1983 1 1013
435.436 7.138 61 1983 1 1013
212.256 4.614 46 1965 1 1957
566.41 9.285 61 1983 1 1957
1035.436 9.861 105 1991 2 1927
339.436 6.927 49 1957.5 2 2026
424.154 5.236 81 1962 1 734
601.282 6.911 87 1972 1 2024
456.205 8.295 55 1969 1 2027
503.538 6.141 82 1941 1 734
243.385 5.071 48 1929 1 163
338.154 5.933 57 1964 2 522
414.564 6.097 68 1918 2 532
352.564 5.976 59 1958 2 1532
418.615 5.98 70 1939 1 2522
359.795 7.655 47 1964 1 2011
284.615 5.692 50 1990 2 2526
270.308 3.975 68 1955 1 2523
339.077 3.897 87 1969 1 2526
430.923 9.576 45 1973 2 2135
584 7.584 77 1936 1 2524
387.897 6.157 63 1951 1 2512
238.974 3.414 70 1965 1 2314
478.051 6.64 72 1972 1 2314
623.436 8.906 70 1971 1 2411
316.359 5.752 55 1971 1 1025
667.333 8.138 82 1996 1 2314
500.974 6.036 83 1972 1 2313
513.282 11.406 45 1991 1 1013
318.513 10.983 29 1974 1 1013
278.308 8.978 31 1963 1 1013
384.923 4.582 84 1962 2 2131
623.897 7.609 82 1995 2 2113
409.795 8.537 48 1983 1 2113
510.41 9.63 53 1993 1 2148
520.41 7.885 66 1971 2 2113
602.872 8.866 68 1971 1 2324
597.231 9.48 63 1929 2 2134
871.026 10.247 85 1995 1 2234
530.359 10.007 53 1971 1 2325
736.154 7.362 100 1972 1 811
838.462 9.316 90 1991 1 2226
511.487 8.973 57 1970 1 2011
365.949 5.902 62 1962 1 2513
497.487 5.076 98 1918 1 2135
538.308 9.969 54 1988 2 2515
383.077 6.721 57 1996 1 2523
346.769 4.816 72 1951 2 2522
417.846 3.869 108 1956 2 2524
337.744 6.495 52 1957.5 2 372
563.487 7.133 79 1918 2 220
517.026 8.617 60 1990 1 2314
424.564 8.491 50 1979 1 2412
534.205 7.42 72 1958 2 153
490.667 7.434 66 1957.5 2 113
594.974 8.5 70 1964 1 1132
383.231 5.807 66 1957.5 1 1132
1009.026 7.207 140 1957.5 3 1331
710.154 8.989 79 1962 1 1371
793.128 7.554 105 1980 1 1313
847.538 7.244 117 1980 1 1313
385.744 4.704 82 1929 2 411
328.718 5.977 55 1918 2 1243
704.103 7.185 98 1957.5 2 1243
618.513 8.59 72 1918 2 113
345.333 5.57 62 1929 2 1243
256 8.828 29 1971 2 415
218.051 2.32 94 1929 1 2513
652.564 8.818 74 1948 3 925
277.692 7.12 39 1968 1 1942
474.923 10.794 44 1957.5 1 916
306.923 4.514 68 1929 2 926
481.077 5.796 83 1957.5 2 411
307.641 4.048 76 1918 2 426
510.41 5.104 100 1935 2 1243
245.897 8.197 30 1959 2 425
480.462 4.805 100 1968 1 1641
254.359 5.652 45 1936 1 1612
249.744 4.897 51 1954 1 1612
362.051 4.583 79 1969 1 1622
490 7.313 67 1973 2 1531
77.077 1.976 39 1949 1 1613
333.18 5.95 56 1969 2 1408
382.256 6.591 58 1939 1 1612
417.026 9.267 45 1996 2 1542
507.949 9.768 52 1918 1 1812
297.231 7.25 41 1994 1 1831
543.744 5.179 105 1973 1 1713
477.59 6.542 73 1960 1 1822
642 8.795 73 1960 1 1822
590.615 9.228 64 1961 1 1631
298.564 9.952 30 1972 1 1615
148.513 2.475 60 1952 1 1714
544.154 5.388 101 1957 1 1721
483.744 4.398 110 1963 1 1722
429.538 5.238 82 1954 1 1722
264.615 6.615 40 1970 1 1013
408.051 5.441 75 1994.5 1 2412
180.718 2.077 87 1966 1 2441
376.974 6.854 55 1971 1 1012
522.564 7.465 70 1972 1 2421
